data,dia_semana,feriado,festas
4/26/2018,Thursday,,
4/27/2018,Friday,,
4/28/2018,Saturday,,
4/29/2018,Sunday,,
4/30/2018,Monday,,
5/1/2018,Tuesday,Dia do Trabalhador,
5/2/2018,Wednesday,,
5/3/2018,Thursday,,
5/4/2018,Friday,,
5/5/2018,Saturday,,
5/6/2018,Sunday,,
5/7/2018,Monday,,
5/8/2018,Tuesday,,
5/9/2018,Wednesday,,
5/10/2018,Thursday,,
5/11/2018,Friday,,
5/12/2018,Saturday,,
5/13/2018,Sunday,,
5/14/2018,Monday,,
5/15/2018,Tuesday,,
5/16/2018,Wednesday,,
5/17/2018,Thursday,,
5/18/2018,Friday,,
5/19/2018,Saturday,,
5/20/2018,Sunday,,
5/21/2018,Monday,,
5/22/2018,Tuesday,,
5/23/2018,Wednesday,,
5/24/2018,Thursday,,
5/25/2018,Friday,,
5/26/2018,Saturday,,
5/27/2018,Sunday,,
5/28/2018,Monday,,
5/29/2018,Tuesday,,
5/30/2018,Wednesday,,Festas do Corpo de Deus
5/31/2018,Thursday,Corpo de Deus,Festas do Corpo de Deus
6/1/2018,Friday,,
6/2/2018,Saturday,,
6/3/2018,Sunday,,
6/4/2018,Monday,,
6/5/2018,Tuesday,,
6/6/2018,Wednesday,,
6/7/2018,Thursday,,
6/8/2018,Friday,,
6/9/2018,Saturday,,
6/10/2018,Sunday,Dia de Portugal,
6/11/2018,Monday,,
6/12/2018,Tuesday,,
6/13/2018,Wednesday,,
6/14/2018,Thursday,,
6/15/2018,Friday,,
6/16/2018,Saturday,,
6/17/2018,Sunday,,
6/18/2018,Monday,,
6/19/2018,Tuesday,,
6/20/2018,Wednesday,,
6/21/2018,Thursday,,
6/22/2018,Friday,,
6/23/2018,Saturday,,
6/24/2018,Sunday,,
6/25/2018,Monday,,
6/26/2018,Tuesday,,
6/27/2018,Wednesday,,
6/28/2018,Thursday,,
6/29/2018,Friday,,
6/30/2018,Saturday,,
7/1/2018,Sunday,,
7/2/2018,Monday,,
7/3/2018,Tuesday,,
7/4/2018,Wednesday,,
7/5/2018,Thursday,,
7/6/2018,Friday,,
7/7/2018,Saturday,,
7/8/2018,Sunday,,
7/9/2018,Monday,,
7/10/2018,Tuesday,,
7/11/2018,Wednesday,,
7/12/2018,Thursday,,
7/13/2018,Friday,,
7/14/2018,Saturday,,
7/15/2018,Sunday,,
7/16/2018,Monday,,
7/17/2018,Tuesday,,
7/18/2018,Wednesday,,
7/19/2018,Thursday,,
7/20/2018,Friday,,
7/21/2018,Saturday,,
7/22/2018,Sunday,,
7/23/2018,Monday,,
7/24/2018,Tuesday,,
7/25/2018,Wednesday,,
7/26/2018,Thursday,,
7/27/2018,Friday,,
7/28/2018,Saturday,,
7/29/2018,Sunday,,
7/30/2018,Monday,,
7/31/2018,Tuesday,,
8/1/2018,Wednesday,,
8/2/2018,Thursday,,
8/3/2018,Friday,,
8/4/2018,Saturday,,
8/5/2018,Sunday,,
8/6/2018,Monday,,
8/7/2018,Tuesday,,
8/8/2018,Wednesday,,
8/9/2018,Thursday,,
8/10/2018,Friday,,
8/11/2018,Saturday,,
8/12/2018,Sunday,,
8/13/2018,Monday,,
8/14/2018,Tuesday,,
8/15/2018,Wednesday,Assuncao de Nossa Senhora,
8/16/2018,Thursday,,
8/17/2018,Friday,,Agrival
8/18/2018,Saturday,,Agrival
8/19/2018,Sunday,,Agrival
8/20/2018,Monday,,Agrival
8/21/2018,Tuesday,,Agrival
8/22/2018,Wednesday,,Agrival
8/23/2018,Thursday,,Agrival
8/24/2018,Friday,,Festas SBartolomeu
8/25/2018,Saturday,,Agrival
8/26/2018,Sunday,,Agrival
8/27/2018,Monday,,
8/28/2018,Tuesday,,
8/29/2018,Wednesday,,
8/30/2018,Thursday,,
8/31/2018,Friday,,
9/1/2018,Saturday,,
9/2/2018,Sunday,,
9/3/2018,Monday,,
9/4/2018,Tuesday,,
9/5/2018,Wednesday,,
9/6/2018,Thursday,,
9/7/2018,Friday,,
9/8/2018,Saturday,,
9/9/2018,Sunday,,
9/10/2018,Monday,,
9/11/2018,Tuesday,,
9/12/2018,Wednesday,,
9/13/2018,Thursday,,
9/14/2018,Friday,,
9/15/2018,Saturday,,
9/16/2018,Sunday,,
9/17/2018,Monday,,
9/18/2018,Tuesday,,
9/19/2018,Wednesday,,
9/20/2018,Thursday,,
9/21/2018,Friday,,
9/22/2018,Saturday,,
9/23/2018,Sunday,,
9/24/2018,Monday,,
9/25/2018,Tuesday,,
9/26/2018,Wednesday,,
9/27/2018,Thursday,,
9/28/2018,Friday,,
9/29/2018,Saturday,,
9/30/2018,Sunday,,
10/1/2018,Monday,,
10/2/2018,Tuesday,,
10/3/2018,Wednesday,,
10/4/2018,Thursday,,
10/5/2018,Friday,Implantacao da Republica,
10/6/2018,Saturday,,
10/7/2018,Sunday,,
10/8/2018,Monday,,
10/9/2018,Tuesday,,
10/10/2018,Wednesday,,
10/11/2018,Thursday,,
10/12/2018,Friday,,
10/13/2018,Saturday,,
10/14/2018,Sunday,,
10/15/2018,Monday,,
10/16/2018,Tuesday,,
10/17/2018,Wednesday,,
10/18/2018,Thursday,,
10/19/2018,Friday,,
10/20/2018,Saturday,,
10/21/2018,Sunday,,
10/22/2018,Monday,,
10/23/2018,Tuesday,,
10/24/2018,Wednesday,,
10/25/2018,Thursday,,
10/26/2018,Friday,,
10/27/2018,Saturday,,
10/28/2018,Sunday,,
10/29/2018,Monday,,
10/30/2018,Tuesday,,
10/31/2018,Wednesday,,
11/1/2018,Thursday,Dia de Todos os Santos,
11/2/2018,Friday,,
11/3/2018,Saturday,,
11/4/2018,Sunday,,
11/5/2018,Monday,,
11/6/2018,Tuesday,,
11/7/2018,Wednesday,,
11/8/2018,Thursday,,
11/9/2018,Friday,,
11/10/2018,Saturday,,Festas S Martinho
11/11/2018,Sunday,S Martinho,Festas S Martinho
11/12/2018,Monday,,Festas S Martinho
11/13/2018,Tuesday,,Festas S Martinho
11/14/2018,Wednesday,,Festas S Martinho
11/15/2018,Thursday,,Festas S Martinho
11/16/2018,Friday,,Festas S Martinho
11/17/2018,Saturday,,Festas S Martinho
11/18/2018,Sunday,,Festas S Martinho
11/19/2018,Monday,,Festas S Martinho
11/20/2018,Tuesday,,Festas S Martinho
11/21/2018,Wednesday,,
11/22/2018,Thursday,,
11/23/2018,Friday,,
11/24/2018,Saturday,,
11/25/2018,Sunday,,
11/26/2018,Monday,,
11/27/2018,Tuesday,,
11/28/2018,Wednesday,,
11/29/2018,Thursday,,
11/30/2018,Friday,,
12/1/2018,Saturday,Restauracao da independencia,
12/2/2018,Sunday,,
12/3/2018,Monday,,
12/4/2018,Tuesday,,
12/5/2018,Wednesday,,
12/6/2018,Thursday,,
12/7/2018,Friday,,
12/8/2018,Saturday,Dia da Imaculada Conceicao,
12/9/2018,Sunday,,
12/10/2018,Monday,,
12/11/2018,Tuesday,,
12/12/2018,Wednesday,,
12/13/2018,Thursday,,
12/14/2018,Friday,,
12/15/2018,Saturday,,
12/16/2018,Sunday,,
12/17/2018,Monday,,
12/18/2018,Tuesday,,
12/19/2018,Wednesday,,
12/20/2018,Thursday,,
12/21/2018,Friday,,
12/22/2018,Saturday,,
12/23/2018,Sunday,,
12/24/2018,Monday,,
12/25/2018,Tuesday,Natal,
12/26/2018,Wednesday,,
12/27/2018,Thursday,,
12/28/2018,Friday,,
12/29/2018,Saturday,,
12/30/2018,Sunday,,
12/31/2018,Monday,,
1/1/2019,Tuesday,Ano Novo,
1/2/2019,Wednesday,,
1/3/2019,Thursday,,
1/4/2019,Friday,,
1/5/2019,Saturday,,
1/6/2019,Sunday,,
1/7/2019,Monday,,
1/8/2019,Tuesday,,
1/9/2019,Wednesday,,
1/10/2019,Thursday,,
1/11/2019,Friday,,
1/12/2019,Saturday,,
1/13/2019,Sunday,,
1/14/2019,Monday,,
1/15/2019,Tuesday,,
1/16/2019,Wednesday,,
1/17/2019,Thursday,,
1/18/2019,Friday,,
1/19/2019,Saturday,,
1/20/2019,Sunday,,
1/21/2019,Monday,,
1/22/2019,Tuesday,,
1/23/2019,Wednesday,,
1/24/2019,Thursday,,
1/25/2019,Friday,,
1/26/2019,Saturday,,
1/27/2019,Sunday,,
1/28/2019,Monday,,
1/29/2019,Tuesday,,
1/30/2019,Wednesday,,
1/31/2019,Thursday,,
2/1/2019,Friday,,
2/2/2019,Saturday,,
2/3/2019,Sunday,,
2/4/2019,Monday,,
2/5/2019,Tuesday,,
2/6/2019,Wednesday,,
2/7/2019,Thursday,,
2/8/2019,Friday,,
2/9/2019,Saturday,,
2/10/2019,Sunday,,
2/11/2019,Monday,,
2/12/2019,Tuesday,,
2/13/2019,Wednesday,,
2/14/2019,Thursday,,
2/15/2019,Friday,,
2/16/2019,Saturday,,
2/17/2019,Sunday,,
2/18/2019,Monday,,
2/19/2019,Tuesday,,
2/20/2019,Wednesday,,
2/21/2019,Thursday,,
2/22/2019,Friday,,
2/23/2019,Saturday,,
2/24/2019,Sunday,,
2/25/2019,Monday,,
2/26/2019,Tuesday,,
2/27/2019,Wednesday,,
2/28/2019,Thursday,,
3/1/2019,Friday,,
3/2/2019,Saturday,,
3/3/2019,Sunday,,
3/4/2019,Monday,,
3/5/2019,Tuesday,Carnaval,
3/6/2019,Wednesday,,
3/7/2019,Thursday,,
3/8/2019,Friday,,
3/9/2019,Saturday,,
3/10/2019,Sunday,,
3/11/2019,Monday,,
3/12/2019,Tuesday,,
3/13/2019,Wednesday,,
3/14/2019,Thursday,,
3/15/2019,Friday,,
3/16/2019,Saturday,,
3/17/2019,Sunday,,
3/18/2019,Monday,,
3/19/2019,Tuesday,,
3/20/2019,Wednesday,,
3/21/2019,Thursday,,
3/22/2019,Friday,,
3/23/2019,Saturday,,
3/24/2019,Sunday,,
3/25/2019,Monday,,
3/26/2019,Tuesday,,
3/27/2019,Wednesday,,
3/28/2019,Thursday,,
3/29/2019,Friday,,
3/30/2019,Saturday,,
3/31/2019,Sunday,,
4/1/2019,Monday,,
4/2/2019,Tuesday,,
4/3/2019,Wednesday,,
4/4/2019,Thursday,,
4/5/2019,Friday,,
4/6/2019,Saturday,,
4/7/2019,Sunday,,
4/8/2019,Monday,,
4/9/2019,Tuesday,,
4/10/2019,Wednesday,,
4/11/2019,Thursday,,
4/12/2019,Friday,,
4/13/2019,Saturday,,
4/14/2019,Sunday,,
4/15/2019,Monday,,
4/16/2019,Tuesday,,
4/17/2019,Wednesday,,
4/18/2019,Thursday,,Endoencas
4/19/2019,Friday,Sexta Feira Santa,
4/20/2019,Saturday,,
4/21/2019,Sunday,Domingo de Pascoa,
4/22/2019,Monday,Segunda-feira de Pascoa,
4/23/2019,Tuesday,,
4/24/2019,Wednesday,,
4/25/2019,Thursday,Dia da liberdade,
4/26/2019,Friday,,
4/27/2019,Saturday,,
4/28/2019,Sunday,,
4/29/2019,Monday,,
4/30/2019,Tuesday,,
5/1/2019,Wednesday,Dia do Trabalhador,
5/2/2019,Thursday,,
5/3/2019,Friday,,
5/4/2019,Saturday,,
5/5/2019,Sunday,,
5/6/2019,Monday,,
5/7/2019,Tuesday,,
5/8/2019,Wednesday,,
5/9/2019,Thursday,,
5/10/2019,Friday,,
5/11/2019,Saturday,,
5/12/2019,Sunday,,
5/13/2019,Monday,,
5/14/2019,Tuesday,,
5/15/2019,Wednesday,,
5/16/2019,Thursday,,
5/17/2019,Friday,,
5/18/2019,Saturday,,
5/19/2019,Sunday,,
5/20/2019,Monday,,
5/21/2019,Tuesday,,
5/22/2019,Wednesday,,
5/23/2019,Thursday,,
5/24/2019,Friday,,
5/25/2019,Saturday,,
5/26/2019,Sunday,,
5/27/2019,Monday,,
5/28/2019,Tuesday,,
5/29/2019,Wednesday,,
5/30/2019,Thursday,,
5/31/2019,Friday,,
6/1/2019,Saturday,,
6/2/2019,Sunday,,
6/3/2019,Monday,,
6/4/2019,Tuesday,,
6/5/2019,Wednesday,,
6/6/2019,Thursday,,
6/7/2019,Friday,,
6/8/2019,Saturday,,
6/9/2019,Sunday,,
6/10/2019,Monday,Dia de Portugal,
6/11/2019,Tuesday,,
6/12/2019,Wednesday,,
6/13/2019,Thursday,,
6/14/2019,Friday,,
6/15/2019,Saturday,,
6/16/2019,Sunday,,
6/17/2019,Monday,,
6/18/2019,Tuesday,,
6/19/2019,Wednesday,,Festas do Corpo de Deus
6/20/2019,Thursday,Corpo de Deus,Festas do Corpo de Deus
6/21/2019,Friday,,
6/22/2019,Saturday,,
6/23/2019,Sunday,,
6/24/2019,Monday,,
6/25/2019,Tuesday,,
6/26/2019,Wednesday,,
6/27/2019,Thursday,,
6/28/2019,Friday,,
6/29/2019,Saturday,,
6/30/2019,Sunday,,
7/1/2019,Monday,,
7/2/2019,Tuesday,,
7/3/2019,Wednesday,,
7/4/2019,Thursday,,
7/5/2019,Friday,,
7/6/2019,Saturday,,
7/7/2019,Sunday,,
7/8/2019,Monday,,
7/9/2019,Tuesday,,
7/10/2019,Wednesday,,
7/11/2019,Thursday,,
7/12/2019,Friday,,
7/13/2019,Saturday,,
7/14/2019,Sunday,,
7/15/2019,Monday,,
7/16/2019,Tuesday,,
7/17/2019,Wednesday,,
7/18/2019,Thursday,,
7/19/2019,Friday,,
7/20/2019,Saturday,,
7/21/2019,Sunday,,
7/22/2019,Monday,,
7/23/2019,Tuesday,,
7/24/2019,Wednesday,,
7/25/2019,Thursday,,
7/26/2019,Friday,,
7/27/2019,Saturday,,
7/28/2019,Sunday,,
7/29/2019,Monday,,
7/30/2019,Tuesday,,
7/31/2019,Wednesday,,
8/1/2019,Thursday,,
8/2/2019,Friday,,
8/3/2019,Saturday,,
8/4/2019,Sunday,,
8/5/2019,Monday,,
8/6/2019,Tuesday,,
8/7/2019,Wednesday,,
8/8/2019,Thursday,,
8/9/2019,Friday,,
8/10/2019,Saturday,,
8/11/2019,Sunday,,
8/12/2019,Monday,,
8/13/2019,Tuesday,,
8/14/2019,Wednesday,,
8/15/2019,Thursday,Assuncao de Nossa Senhora,
8/16/2019,Friday,,
8/17/2019,Saturday,,
8/18/2019,Sunday,,
8/19/2019,Monday,,
8/20/2019,Tuesday,,
8/21/2019,Wednesday,,
8/22/2019,Thursday,,
8/23/2019,Friday,,Agrival
8/24/2019,Saturday,,Festas SBartolomeu
8/25/2019,Sunday,,Agrival
8/26/2019,Monday,,Agrival
8/27/2019,Tuesday,,Agrival
8/28/2019,Wednesday,,Agrival
8/29/2019,Thursday,,Agrival
8/30/2019,Friday,,Agrival
8/31/2019,Saturday,,Agrival
9/1/2019,Sunday,,Agrival
9/2/2019,Monday,,
9/3/2019,Tuesday,,
9/4/2019,Wednesday,,
9/5/2019,Thursday,,
9/6/2019,Friday,,
9/7/2019,Saturday,,
9/8/2019,Sunday,,
9/9/2019,Monday,,
9/10/2019,Tuesday,,
9/11/2019,Wednesday,,
9/12/2019,Thursday,,
9/13/2019,Friday,,
9/14/2019,Saturday,,
9/15/2019,Sunday,,
9/16/2019,Monday,,
9/17/2019,Tuesday,,
9/18/2019,Wednesday,,
9/19/2019,Thursday,,
9/20/2019,Friday,,
9/21/2019,Saturday,,
9/22/2019,Sunday,,
9/23/2019,Monday,,
9/24/2019,Tuesday,,
9/25/2019,Wednesday,,
9/26/2019,Thursday,,
9/27/2019,Friday,,
9/28/2019,Saturday,,
9/29/2019,Sunday,,
9/30/2019,Monday,,
10/1/2019,Tuesday,,
10/2/2019,Wednesday,,
10/3/2019,Thursday,,
10/4/2019,Friday,,
10/5/2019,Saturday,Implantacao da Republica,
10/6/2019,Sunday,,
10/7/2019,Monday,,
10/8/2019,Tuesday,,
10/9/2019,Wednesday,,
10/10/2019,Thursday,,
10/11/2019,Friday,,
10/12/2019,Saturday,,
10/13/2019,Sunday,,
10/14/2019,Monday,,
10/15/2019,Tuesday,,
10/16/2019,Wednesday,,
10/17/2019,Thursday,,
10/18/2019,Friday,,
10/19/2019,Saturday,,
10/20/2019,Sunday,,
10/21/2019,Monday,,
10/22/2019,Tuesday,,
10/23/2019,Wednesday,,
10/24/2019,Thursday,,
10/25/2019,Friday,,
10/26/2019,Saturday,,
10/27/2019,Sunday,,
10/28/2019,Monday,,
10/29/2019,Tuesday,,
10/30/2019,Wednesday,,
10/31/2019,Thursday,,
11/1/2019,Friday,Dia de Todos os Santos,
11/2/2019,Saturday,,
11/3/2019,Sunday,,
11/4/2019,Monday,,
11/5/2019,Tuesday,,
11/6/2019,Wednesday,,
11/7/2019,Thursday,,
11/8/2019,Friday,,
11/9/2019,Saturday,,
11/10/2019,Sunday,,Festas S Martinho
11/11/2019,Monday,S Martinho,Festas S Martinho
11/12/2019,Tuesday,,Festas S Martinho
11/13/2019,Wednesday,,Festas S Martinho
11/14/2019,Thursday,,Festas S Martinho
11/15/2019,Friday,,Festas S Martinho
11/16/2019,Saturday,,Festas S Martinho
11/17/2019,Sunday,,Festas S Martinho
11/18/2019,Monday,,Festas S Martinho
11/19/2019,Tuesday,,Festas S Martinho
11/20/2019,Wednesday,,Festas S Martinho
11/21/2019,Thursday,,
11/22/2019,Friday,,
11/23/2019,Saturday,,
11/24/2019,Sunday,,
11/25/2019,Monday,,
11/26/2019,Tuesday,,
11/27/2019,Wednesday,,
11/28/2019,Thursday,,
11/29/2019,Friday,,
11/30/2019,Saturday,,
12/1/2019,Sunday,Restauracao da independencia,
12/2/2019,Monday,,
12/3/2019,Tuesday,,
12/4/2019,Wednesday,,
12/5/2019,Thursday,,
12/6/2019,Friday,,
12/7/2019,Saturday,,
12/8/2019,Sunday,Dia da Imaculada Conceicao,
12/9/2019,Monday,,
12/10/2019,Tuesday,,
12/11/2019,Wednesday,,
12/12/2019,Thursday,,
12/13/2019,Friday,,
12/14/2019,Saturday,,
12/15/2019,Sunday,,
12/16/2019,Monday,,
12/17/2019,Tuesday,,
12/18/2019,Wednesday,,
12/19/2019,Thursday,,
12/20/2019,Friday,,
12/21/2019,Saturday,,
12/22/2019,Sunday,,
12/23/2019,Monday,,
12/24/2019,Tuesday,,
12/25/2019,Wednesday,Natal,
12/26/2019,Thursday,,
12/27/2019,Friday,,
12/28/2019,Saturday,,
12/29/2019,Sunday,,
12/30/2019,Monday,,
12/31/2019,Tuesday,,
1/1/2020,Wednesday,Ano Novo,
1/2/2020,Thursday,,
1/3/2020,Friday,,
1/4/2020,Saturday,,
1/5/2020,Sunday,,
1/6/2020,Monday,,
1/7/2020,Tuesday,,
1/8/2020,Wednesday,,
1/9/2020,Thursday,,
1/10/2020,Friday,,
1/11/2020,Saturday,,
1/12/2020,Sunday,,
1/13/2020,Monday,,
1/14/2020,Tuesday,,
1/15/2020,Wednesday,,
1/16/2020,Thursday,,
1/17/2020,Friday,,
1/18/2020,Saturday,,
1/19/2020,Sunday,,
1/20/2020,Monday,,
1/21/2020,Tuesday,,
1/22/2020,Wednesday,,
1/23/2020,Thursday,,
1/24/2020,Friday,,
1/25/2020,Saturday,,
1/26/2020,Sunday,,
1/27/2020,Monday,,
1/28/2020,Tuesday,,
1/29/2020,Wednesday,,
1/30/2020,Thursday,,
1/31/2020,Friday,,
2/1/2020,Saturday,,
2/2/2020,Sunday,,
2/3/2020,Monday,,
2/4/2020,Tuesday,,
2/5/2020,Wednesday,,
2/6/2020,Thursday,,
2/7/2020,Friday,,
2/8/2020,Saturday,,
2/9/2020,Sunday,,
2/10/2020,Monday,,
2/11/2020,Tuesday,,
2/12/2020,Wednesday,,
2/13/2020,Thursday,,
2/14/2020,Friday,,
2/15/2020,Saturday,,
2/16/2020,Sunday,,
2/17/2020,Monday,,
2/18/2020,Tuesday,,
2/19/2020,Wednesday,,
2/20/2020,Thursday,,
2/21/2020,Friday,,
2/22/2020,Saturday,,
2/23/2020,Sunday,,
2/24/2020,Monday,,
2/25/2020,Tuesday,Carnaval,
2/26/2020,Wednesday,,
2/27/2020,Thursday,,
2/28/2020,Friday,,
2/29/2020,Saturday,,
3/1/2020,Sunday,,
3/2/2020,Monday,,
3/3/2020,Tuesday,,
3/4/2020,Wednesday,,
3/5/2020,Thursday,,
3/6/2020,Friday,,
3/7/2020,Saturday,,
3/8/2020,Sunday,,
3/9/2020,Monday,,
3/10/2020,Tuesday,,
3/11/2020,Wednesday,,
3/12/2020,Thursday,,
3/13/2020,Friday,,
3/14/2020,Saturday,,
3/15/2020,Sunday,,
3/16/2020,Monday,,
3/17/2020,Tuesday,,
3/18/2020,Wednesday,,
3/19/2020,Thursday,,
3/20/2020,Friday,,
3/21/2020,Saturday,,
3/22/2020,Sunday,,
3/23/2020,Monday,,
3/24/2020,Tuesday,,
3/25/2020,Wednesday,,
3/26/2020,Thursday,,
3/27/2020,Friday,,
3/28/2020,Saturday,,
3/29/2020,Sunday,,
3/30/2020,Monday,,
3/31/2020,Tuesday,,
4/1/2020,Wednesday,,
4/2/2020,Thursday,,
4/3/2020,Friday,,
4/4/2020,Saturday,,
4/5/2020,Sunday,,
4/6/2020,Monday,,
4/7/2020,Tuesday,,
4/8/2020,Wednesday,,
4/9/2020,Thursday,,Endoencas
4/10/2020,Friday,Sexta Feira Santa,
4/11/2020,Saturday,,
4/12/2020,Sunday,Domingo de Pascoa,
4/13/2020,Monday,Segunda-feira de Pascoa,
4/14/2020,Tuesday,,
4/15/2020,Wednesday,,
4/16/2020,Thursday,,
4/17/2020,Friday,,
4/18/2020,Saturday,,
4/19/2020,Sunday,,
4/20/2020,Monday,,
4/21/2020,Tuesday,,
4/22/2020,Wednesday,,
4/23/2020,Thursday,,
4/24/2020,Friday,,
4/25/2020,Saturday,Dia da liberdade,
4/26/2020,Sunday,,
4/27/2020,Monday,,
4/28/2020,Tuesday,,
4/29/2020,Wednesday,,
4/30/2020,Thursday,,
5/1/2020,Friday,Dia do Trabalhador,
5/2/2020,Saturday,,
5/3/2020,Sunday,,
5/4/2020,Monday,,
5/5/2020,Tuesday,,
5/6/2020,Wednesday,,
5/7/2020,Thursday,,
5/8/2020,Friday,,
5/9/2020,Saturday,,
5/10/2020,Sunday,,
5/11/2020,Monday,,
5/12/2020,Tuesday,,
5/13/2020,Wednesday,,
5/14/2020,Thursday,,
5/15/2020,Friday,,
5/16/2020,Saturday,,
5/17/2020,Sunday,,
5/18/2020,Monday,,
5/19/2020,Tuesday,,
5/20/2020,Wednesday,,
5/21/2020,Thursday,,
5/22/2020,Friday,,
5/23/2020,Saturday,,
5/24/2020,Sunday,,
5/25/2020,Monday,,
5/26/2020,Tuesday,,
5/27/2020,Wednesday,,
5/28/2020,Thursday,,
5/29/2020,Friday,,
5/30/2020,Saturday,,
5/31/2020,Sunday,,
6/1/2020,Monday,,
6/2/2020,Tuesday,,
6/3/2020,Wednesday,,
6/4/2020,Thursday,,
6/5/2020,Friday,,
6/6/2020,Saturday,,
6/7/2020,Sunday,,
6/8/2020,Monday,,
6/9/2020,Tuesday,,
6/10/2020,Wednesday,Dia de Portugal,Festas do Corpo de Deus
6/11/2020,Thursday,Corpo de Deus,Festas do Corpo de Deus
6/12/2020,Friday,,
6/13/2020,Saturday,,
6/14/2020,Sunday,,
6/15/2020,Monday,,
6/16/2020,Tuesday,,
6/17/2020,Wednesday,,
6/18/2020,Thursday,,
6/19/2020,Friday,,
6/20/2020,Saturday,,
6/21/2020,Sunday,,
6/22/2020,Monday,,
6/23/2020,Tuesday,,
6/24/2020,Wednesday,,
6/25/2020,Thursday,,
6/26/2020,Friday,,
6/27/2020,Saturday,,
6/28/2020,Sunday,,
6/29/2020,Monday,,
6/30/2020,Tuesday,,
7/1/2020,Wednesday,,
7/2/2020,Thursday,,
7/3/2020,Friday,,
7/4/2020,Saturday,,
7/5/2020,Sunday,,
7/6/2020,Monday,,
7/7/2020,Tuesday,,
7/8/2020,Wednesday,,
7/9/2020,Thursday,,
7/10/2020,Friday,,
7/11/2020,Saturday,,
7/12/2020,Sunday,,
7/13/2020,Monday,,
7/14/2020,Tuesday,,
7/15/2020,Wednesday,,
7/16/2020,Thursday,,
7/17/2020,Friday,,
7/18/2020,Saturday,,
7/19/2020,Sunday,,
7/20/2020,Monday,,
7/21/2020,Tuesday,,
7/22/2020,Wednesday,,
7/23/2020,Thursday,,
7/24/2020,Friday,,
7/25/2020,Saturday,,
7/26/2020,Sunday,,
7/27/2020,Monday,,
7/28/2020,Tuesday,,
7/29/2020,Wednesday,,
7/30/2020,Thursday,,
7/31/2020,Friday,,
8/1/2020,Saturday,,
8/2/2020,Sunday,,
8/3/2020,Monday,,
